customer_id,first_name,last_name,gender,age,city,state,join_date,customer_segment
C00001,Bachittar,Vora,Male,65,Mysuru,Karnataka,2025-10-23,Regular
C00002,Nihal,Sastry,Male,65,Pune,Maharashtra,2026-02-27,Regular
C00003,Caleb,Patla,Female,20,Bengaluru,Karnataka,2023-10-21,Regular
C00004,Daksha,Dhar,Male,50,Mumbai,Maharashtra,2024-01-08,Regular
C00005,Nachiket,Tiwari,Female,32,Mumbai,Maharashtra,2022-09-09,Regular
C00006,Varenya,Bhandari,Male,66,Ahmedabad,Gujarat,2022-08-14,Premium
C00007,Aarav,Khosla,Female,35,Kolkata,West Bengal,2023-07-22,Regular
C00008,Urishilla,Ray,Male,23,Delhi,Delhi,2025-01-21,Regular
C00009,Wridesh,Bhagat,Female,56,Lucknow,Uttar Pradesh,2022-12-06,Regular
C00010,Ikbal,Chopra,Female,52,Warangal,Telangana,2024-05-25,Regular
C00011,Baljiwan,Pradhan,Male,53,Kanpur,Uttar Pradesh,2025-01-31,Regular
C00012,Gautami,Bhavsar,Male,63,Lucknow,Uttar Pradesh,2026-03-02,Regular
C00013,Aishani,Sani,Female,23,Pune,Maharashtra,2026-04-02,Premium
C00014,Kai,Baria,Female,35,Mysuru,Karnataka,2024-10-11,Regular
C00015,Rachit,Ramakrishnan,Male,41,Lucknow,Uttar Pradesh,2023-04-23,Regular
C00016,Dhriti,Hayre,Male,56,Ahmedabad,Gujarat,2026-03-23,Regular
C00017,Sanya,Khurana,Male,47,Pune,Maharashtra,2025-10-09,Regular
C00018,Ekalinga,Subramanian,Female,67,Pune,Maharashtra,2022-12-06,Premium
C00019,Wishi,Mall,Male,69,Pune,Maharashtra,2022-11-18,Regular
C00020,Ethan,Chad,Male,31,Ahmedabad,Gujarat,2026-02-18,VIP
C00021,Om,Rattan,Male,59,Delhi,Delhi,2025-11-26,Regular
C00022,Mahika,Lal,Male,34,Jaipur,Rajasthan,2024-03-21,Regular
C00023,Rishi,Narayan,Female,55,Ahmedabad,Gujarat,2023-01-11,Regular
C00024,Om,Jani,Male,50,Pune,Maharashtra,2023-04-23,Regular
C00025,Azad,Narain,Male,27,Warangal,Telangana,2023-07-09,Regular
C00026,Ladli,Atwal,Male,42,Kolkata,West Bengal,2024-01-11,Regular
C00027,Andrew,Sandal,Female,53,Jaipur,Rajasthan,2023-11-16,Premium
C00028,Radha,Khalsa,Male,61,Hyderabad,Telangana,2025-11-30,Premium
C00029,Janya,Bakshi,Female,25,Ahmedabad,Gujarat,2024-03-19,Regular
C00030,Eiravati,Parekh,Female,18,Coimbatore,Tamil Nadu,2024-08-13,VIP
C00031,Faqid,Sant,Male,50,Ahmedabad,Gujarat,2024-12-02,VIP
C00032,Chakrika,Muni,Male,27,Surat,Gujarat,2023-03-03,Regular
C00033,Oeshi,Acharya,Male,56,Coimbatore,Tamil Nadu,2025-10-23,Regular
C00034,Sai,Chacko,Male,41,Hyderabad,Telangana,2024-01-14,Premium
C00035,Ekaraj,Kadakia,Male,21,Surat,Gujarat,2023-05-02,Regular
C00036,Yashoda,Kapur,Male,64,Bengaluru,Karnataka,2022-08-11,Regular
C00037,Gopal,Kala,Male,26,Bengaluru,Karnataka,2023-11-13,Regular
C00038,Fitan,Sidhu,Female,51,Coimbatore,Tamil Nadu,2026-04-06,Premium
C00039,Rohan,Tiwari,Male,52,Kolkata,West Bengal,2022-07-30,Premium
C00040,Urmi,Randhawa,Female,43,Mumbai,Maharashtra,2025-01-28,VIP
C00041,Vrinda,Kakar,Female,51,Lucknow,Uttar Pradesh,2023-03-22,Regular
C00042,Ryan,Chaudry,Male,22,Pune,Maharashtra,2025-01-09,Regular
C00043,Fiyaz,Natt,Male,18,Pune,Maharashtra,2024-08-16,Regular
C00044,Yuvraj,Narayan,Male,22,Warangal,Telangana,2023-08-02,VIP
C00045,Charan,Subramanian,Male,50,Delhi,Delhi,2023-04-30,Regular
C00046,Hema,Sem,Male,52,Kochi,Kerala,2025-08-08,Regular
C00047,Pahal,Bassi,Male,68,Kochi,Kerala,2023-05-15,Regular
C00048,Azaan,Sule,Male,24,Kolkata,West Bengal,2025-09-25,Regular
C00049,Brijesh,Raval,Female,45,Kolkata,West Bengal,2026-06-24,Regular
C00050,Parth,Pandit,Male,21,Warangal,Telangana,2023-08-13,Regular
C00051,Pahal,Issac,Male,33,Delhi,Delhi,2022-09-08,Regular
C00052,Reva,Babu,Male,45,Jaipur,Rajasthan,2024-07-24,Regular
C00053,Ridhi,Hari,Male,22,Jaipur,Rajasthan,2023-06-07,Regular
C00054,Hemal,Randhawa,Male,59,Mysuru,Karnataka,2026-05-30,VIP
C00055,Aayush,Pingle,Male,66,Hyderabad,Telangana,2026-02-22,Premium
C00056,Zayan,Saxena,Female,49,Coimbatore,Tamil Nadu,2024-06-05,Regular
C00057,Eshana,Vasa,Male,28,Kanpur,Uttar Pradesh,2023-06-06,Regular
C00058,Vasatika,Sachar,Female,68,Kanpur,Uttar Pradesh,2024-07-12,Premium
C00059,Falak,Sachdev,Female,62,Surat,Gujarat,2024-03-15,VIP
C00060,Ekapad,Sahni,Male,30,Kochi,Kerala,2025-08-29,Regular
